N_POINTS,LATITUDE,LONGITUDE,TIME,CYCLE_NUMBER,PLATFORM_NUMBER,PRES,TEMP,PSAL
67,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,300.18,0.422,34.6826
68,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,310.29,0.421,34.6831
69,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,320.2,0.419,34.6832
70,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,330.21,0.42,34.6837
71,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,340.11,0.421,34.6838
72,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,350.13,0.419,34.6843
73,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,360.38,0.418,34.6847
74,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,370.27,0.418,34.685
75,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,380.35,0.417,34.6852
76,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,390.25,0.417,34.6858
77,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,400.3,0.415,34.6858
78,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,410.23,0.414,34.6861
79,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,420.0,0.413,34.6866
80,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,430.09,0.413,34.6864
81,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,440.13,0.41,34.6869
82,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,450.1,0.411,34.6868
83,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,460.16,0.407,34.6874
84,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,470.05,0.408,34.6872
85,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,479.91,0.408,34.6872
86,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,490.01,0.407,34.688
87,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,500.04,0.406,34.6878
88,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,510.14,0.406,34.6875
89,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,520.22,0.405,34.6883
90,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,530.17,0.404,34.6884
91,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,540.21,0.401,34.6886
92,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,550.17,0.399,34.6885
93,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,560.17,0.394,34.6887
94,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,570.18,0.386,34.6888
95,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,580.12,0.382,34.6886
96,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,590.09,0.377,34.6884
97,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,600.14,0.374,34.6885
98,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,610.24,0.367,34.6884
