N_POINTS,LATITUDE,LONGITUDE,TIME,CYCLE_NUMBER,PLATFORM_NUMBER,PRES,TEMP,PSAL
66,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,69.9,13.775,34.731
67,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,70.9,13.715,34.734
68,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,71.8,13.66,34.735
69,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,72.7,13.587,34.74
70,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,73.7,13.586,34.75
71,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,74.6,13.579,34.757
72,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,75.6,13.58,34.77
73,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,76.5,13.623,34.834
74,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,77.9,13.655,34.855
75,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,79.3,13.548,34.889
76,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,80.1,13.495,34.895
77,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,81.1,13.439,34.892
78,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,82.0,13.407,34.888
79,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,82.8,13.351,34.888
80,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,84.0,13.053,34.887
81,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,84.8,12.904,34.876
82,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,85.8,12.759,34.895
83,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,87.1,12.652,34.912
84,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,88.1,12.578,34.912
85,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,88.9,12.49,34.909
86,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,90.0,12.424,34.911
87,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,91.1,12.437,34.92
88,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,91.9,12.448,34.924
89,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,92.8,12.456,34.932
90,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,93.6,12.44,34.941
91,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,94.9,12.436,34.953
92,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,96.3,12.538,34.999
93,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,97.2,12.561,35.018
94,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,98.1,12.526,35.017
95,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,99.1,12.456,35.005
96,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,100.0,12.445,35.005
97,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,101.0,12.44,35.012
98,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,102.0,12.357,35.005
99,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,103.0,12.338,35.0
100,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,104.1,12.295,35.006
101,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,105.1,12.27,35.004
102,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,106.2,12.262,35.007
103,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,107.3,12.25,35.02
104,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,108.4,12.277,35.033
105,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,109.6,12.327,35.044
106,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,110.7,12.308,35.054
107,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,111.8,12.27,35.051
108,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,113.0,12.303,35.064
109,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,114.2,12.266,35.054
110,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,115.3,12.244,35.051
111,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,116.4,12.22,35.05
112,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,117.6,12.22,35.048
113,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,118.7,12.227,35.055
114,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,119.8,12.315,35.071
115,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,120.9,12.345,35.078
116,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,122.1,12.339,35.089
117,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,123.2,12.322,35.084
118,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,124.3,12.284,35.08
119,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,125.4,12.283,35.08
120,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,126.5,12.278,35.08
121,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,127.6,12.276,35.08
122,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,128.7,12.246,35.076
123,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,129.8,12.231,35.074
124,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,130.9,12.216,35.07
125,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,132.1,12.212,35.07
126,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,133.2,12.209,35.07
127,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,134.3,12.203,35.068
