N_POINTS,LATITUDE,LONGITUDE,TIME,CYCLE_NUMBER,PLATFORM_NUMBER,PRES,TEMP,PSAL
71,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,134.0,22.396,37.366
72,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,136.04,22.375,37.36
73,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,138.04,22.257,37.343
74,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,139.96,22.099,37.311
75,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,141.96,21.979,37.288
76,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,144.04,21.931,37.276
77,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,146.04,21.919,37.272
78,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,147.96,21.888,37.265
79,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,149.92,21.837,37.25
80,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,151.96,21.699,37.221
81,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,153.92,21.402,37.161
82,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,155.96,21.305,37.141
83,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,158.04,21.239,37.132
84,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,160.0,21.161,37.116
85,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,161.96,21.069,37.097
86,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,164.0,20.961,37.073
87,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,166.04,20.928,37.064
88,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,168.08,20.862,37.054
89,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,170.04,20.809,37.038
90,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,172.0,20.817,37.038
91,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,174.04,20.622,37.015
92,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,176.0,20.142,36.918
93,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,177.96,20.07,36.887
94,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,179.96,20.05,36.883
95,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,182.0,20.045,36.881
96,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,184.12,20.015,36.874
97,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,186.04,19.919,36.86
98,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,187.92,19.848,36.841
99,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,190.0,19.815,36.832
100,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,192.08,19.804,36.827
101,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,194.0,19.716,36.811
102,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,195.96,19.605,36.787
103,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,197.96,19.464,36.764
104,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,199.96,19.401,36.751
105,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,201.96,19.357,36.745
106,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,203.92,19.267,36.732
107,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,206.0,19.156,36.716
108,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,208.04,19.086,36.704
109,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,210.0,19.022,36.692
110,22.82758,-43.70801,2026-01-09 22:51:08,187,1902300,212.0,18.996,36.685
