N_POINTS,LATITUDE,LONGITUDE,TIME,CYCLE_NUMBER,PLATFORM_NUMBER,PRES,TEMP,PSAL
66,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,69.9,3.056,34.846
67,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,71.0,3.054,34.846
68,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,72.0,3.053,34.847
69,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,73.0,3.053,34.847
70,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,74.1,3.05,34.847
71,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,75.1,3.049,34.848
72,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,76.1,3.042,34.849
73,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,77.2,3.042,34.849
74,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,78.2,3.041,34.851
75,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,79.2,3.042,34.849
76,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,80.3,3.038,34.85
77,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,81.3,3.038,34.849
78,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,82.3,3.038,34.849
79,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,83.3,3.036,34.85
80,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,84.3,3.034,34.85
81,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,85.3,3.024,34.852
82,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,86.3,3.012,34.855
83,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,87.3,3.011,34.855
84,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,88.3,3.008,34.856
85,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,89.3,3.007,34.856
86,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,90.3,2.997,34.857
87,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,91.2,2.989,34.86
88,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,92.2,2.968,34.863
89,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,93.2,2.964,34.864
90,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,94.2,2.955,34.866
91,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,95.2,2.953,34.866
92,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,96.3,2.951,34.867
93,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,97.3,2.942,34.87
94,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,98.3,2.94,34.87
95,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,99.4,2.934,34.867
96,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,101.0,2.932,34.866
97,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,103.1,2.929,34.867
98,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,105.1,2.926,34.868
99,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,107.3,2.925,34.868
100,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,109.3,2.92,34.868
101,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,111.3,2.915,34.869
102,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,113.3,2.913,34.867
103,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,115.3,2.909,34.869
104,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,117.4,2.895,34.87
105,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,119.5,2.887,34.869
106,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,121.5,2.865,34.87
107,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,123.6,2.856,34.872
108,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,125.7,2.854,34.873
109,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,127.3,2.853,34.873
110,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,129.4,2.845,34.875
111,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,131.6,2.839,34.876
112,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,133.3,2.834,34.877
113,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,135.5,2.831,34.877
114,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,137.6,2.828,34.878
115,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,139.3,2.83,34.88
116,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,141.5,2.83,34.88
117,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,143.6,2.819,34.884
118,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,145.4,2.811,34.886
119,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,147.5,2.812,34.887
120,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,149.6,2.81,34.89
121,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,151.4,2.806,34.892
122,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,153.5,2.794,34.893
123,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,155.7,2.791,34.894
124,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,157.5,2.79,34.894
125,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,159.3,2.781,34.896
126,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,161.5,2.771,34.895
127,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,163.6,2.759,34.894
128,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,165.4,2.739,34.896
